Year,section,reach,pass,unitnum,unittype,Vert index,pitnumber,species,length 1 (mm),length 2 (mm),Weight (g),clip,Sample date,notes
1993,CC,L,1,1,P,16,NA,Coastal giant salamander,72,72,16.13,NONE,01 September 1993,NA
1993,CC,L,1,2,C,36,NA,Coastal giant salamander,85,149,22.99,NONE,01 September 1993,NA
1993,CC,L,1,2,C,37,NA,Coastal giant salamander,61,114,1.35,NONE,01 September 1993,NA
1993,CC,L,1,2,C,38,NA,Coastal giant salamander,42,84,3.18,NONE,01 September 1993,NA
1993,CC,L,1,2,C,39,NA,Coastal giant salamander,61,114,10.26,NONE,01 September 1993,NA
1993,CC,L,1,2,C,40,NA,Coastal giant salamander,81,147,19.51,NONE,01 September 1993,NA
1993,CC,L,1,2,C,41,NA,Coastal giant salamander,55,96,6.31,NONE,01 September 1993,NA
1993,CC,L,1,2,C,42,NA,Coastal giant salamander,70,121,13.33,NONE,01 September 1993,NA
1993,CC,L,1,2,C,43,NA,Coastal giant salamander,69,126,12.96,NONE,01 September 1993,NA
1993,CC,L,1,2,C,44,NA,Coastal giant salamander,25,47,0.75,NONE,01 September 1993,NA
1993,CC,L,1,2,C,45,NA,Coastal giant salamander,46,85,4.17,NONE,01 September 1993,NA
1993,CC,L,1,2,C,46,NA,Coastal giant salamander,88,151,20.94,NONE,01 September 1993,NA
1993,CC,L,1,2,C,47,NA,Coastal giant salamander,100,142,31.7,NONE,01 September 1993,NA
1993,CC,L,1,2,C,48,NA,Coastal giant salamander,85,151,22.5,NONE,01 September 1993,NA
1993,CC,L,1,3,SC,7,NA,Coastal giant salamander,50,98,6.17,NONE,01 September 1993,NA
1993,CC,L,1,3,SC,8,NA,Coastal giant salamander,68,125,13.2,NONE,01 September 1993,NA
1993,CC,L,1,3,SC,9,NA,Coastal giant salamander,90,151,24.39,NONE,01 September 1993,NA
1993,CC,L,1,4,P,9,NA,Coastal giant salamander,37,61,2.03,NONE,01 September 1993,NA
