Year,section,reach,pass,unitnum,unittype,Vert index,pitnumber,species,length 1 (mm),length 2 (mm),Weight (g),clip,Sample date,notes
1987,CC,L,1,1,R,1,NA,Cutthroat trout,58,NA,1.75,NONE,07 October 1987,NA
1987,CC,L,1,1,R,2,NA,Cutthroat trout,61,NA,1.95,NONE,07 October 1987,NA
1987,CC,L,1,1,R,3,NA,Cutthroat trout,89,NA,5.6,NONE,07 October 1987,NA
1987,CC,L,1,1,R,4,NA,Cutthroat trout,58,NA,2.15,NONE,07 October 1987,NA
1987,CC,L,1,1,R,5,NA,Cutthroat trout,93,NA,6.9,NONE,07 October 1987,NA
1987,CC,L,1,1,R,6,NA,Cutthroat trout,86,NA,5.9,NONE,07 October 1987,NA
1987,CC,L,1,1,R,7,NA,Cutthroat trout,107,NA,10.5,NONE,07 October 1987,NA
1987,CC,L,1,1,R,8,NA,Cutthroat trout,131,NA,20.6,NONE,07 October 1987,NA
1987,CC,L,1,1,R,9,NA,Cutthroat trout,103,NA,9.55,NONE,07 October 1987,NA
1987,CC,L,1,1,R,10,NA,Cutthroat trout,117,NA,13,NONE,07 October 1987,NA
1987,CC,L,1,1,R,11,NA,Cutthroat trout,100,NA,8.25,NONE,07 October 1987,NA
1987,CC,L,1,1,R,12,NA,Cutthroat trout,127,NA,17.7,NONE,07 October 1987,NA
1987,CC,L,1,1,R,13,NA,Cutthroat trout,99,NA,8.15,NONE,07 October 1987,NA
1987,CC,L,1,1,R,14,NA,Cutthroat trout,111,NA,11.25,NONE,07 October 1987,NA
1987,CC,L,1,1,R,15,NA,Cutthroat trout,149,NA,27.15,NONE,07 October 1987,NA
1987,CC,L,1,1,R,16,NA,Cutthroat trout,102,NA,9.25,NONE,07 October 1987,NA
1987,CC,L,1,2,C,1,NA,Cutthroat trout,53,NA,1.45,NONE,07 October 1987,NA
1987,CC,L,1,2,C,2,NA,Cutthroat trout,58,NA,2.1,NONE,07 October 1987,NA
1987,CC,L,1,2,C,3,NA,Cutthroat trout,58,NA,2.05,NONE,07 October 1987,NA
